ticker,date,close,atr,c1,grav,grav_slope,grav_shift5atr,c2,volidx,volidx_slope,volidx_prev,c3,atr_pct,sd60_pct,vcp,vcp_slope,vcp_grade,c4,clock,theta,cycle,cyc_prog,cyc_days,c5,c5_days,hist,hist_prev,hist_trough,still_light,c6,dist_grav_pct,dist_grav_atr,lr_line,dist_lr_pct,dist_lr_atr,turnover20_m,data_warn,bar_src,lr_dir,struct,mk,inBox,bars,score,symbol_used,lists
RPRX,2026-09-24,58.29,1.41,True,60.13,0.019,0.07,True,88.8,0.3,88.5,True,2.42,1.59,49.5,0.0,C 基底修復,True,8:49,264.6,跌,163.0,12,True,0.0,-0.3385,-0.4003,-0.5731,True,False,-3.16,-1.3,64.38,-10.45,-4.32,199.3,,OHLC,—,LH/LL,自然回檔,True,268,5,RPRX,Combined_R22
V,2026-09-24,367.98,5.78,True,370.55,0.094,-0.0,False,93.8,-0.03,93.8,True,1.57,1.27,58.3,18.0,C 基底修復,True,8:49,264.6,跌,225.0,16,True,0.0,-1.4798,-1.8402,-1.8904,True,True,-0.7,-0.45,377.17,-2.5,-1.59,2281.7,,OHLC,↓,LH/LL,DT,False,268,5,V,SubSector_R12+Combined_R22
OKE,2026-09-24,91.18,2.42,True,94.57,0.0,0.15,True,87.4,0.45,87.0,True,2.65,1.63,48.1,2.4,C 基底修復,True,8:16,247.8,跌,88.0,8,True,0.0,-0.7283,-0.7867,-0.7867,True,False,-3.72,-1.4,90.81,0.41,0.15,355.2,,OHLC,↓,LH/LL,DT,False,268,5,OKE,SubSector_R12
LRN,2026-09-24,80.04,2.37,True,82.74,0.101,-0.02,True,78.6,0.52,78.1,True,2.96,3.04,23.5,6.2,D 趨勢弱,True,8:09,244.3,跌,86.0,12,True,0.0,-0.3664,-0.4969,-0.8072,True,False,-3.37,-1.14,83.56,-4.4,-1.49,59.0,,OHLC,↓,LH/LL,DT,False,268,5,LRN,SubSector_R12
TARS,2026-09-24,75.96,3.19,True,77.62,0.331,0.78,True,69.3,0.29,69.0,False,4.2,3.56,60.2,-3.7,B 上升結構,True,7:39,229.4,跌,77.0,9,True,0.0,-1.1893,-1.2094,-1.2094,True,True,-2.18,-0.52,74.29,2.2,0.52,63.2,,OHLC,↑,HH/HL,自然反彈,False,268,5,TARS,MP_R21_差一項
REG,2026-09-24,72.92,1.04,False,74.96,-0.101,-0.82,True,95.6,0.24,95.3,True,1.43,0.92,23.2,0.3,D 趨勢弱,True,7:28,224.0,跌,74.0,8,True,0.0,-0.0668,-0.0925,-0.6799,True,True,-2.8,-1.95,76.54,-4.96,-3.47,103.2,,OHLC,↓,LH/LL,DT,False,268,5,REG,SubSector_R12
CHRD,2026-09-24,140.02,4.83,True,145.48,0.081,0.31,True,78.5,0.54,77.9,True,3.45,2.57,47.0,5.3,C 基底修復,True,7:03,211.4,跌,67.0,7,True,0.0,-1.9142,-2.0727,-2.0727,True,False,-3.9,-1.13,135.89,2.95,0.86,104.3,,OHLC,—,HH/HL,自然反彈,False,268,5,CHRD,Combined_R22
TRST,2026-09-24,56.3,1.26,False,57.14,-0.007,-0.01,True,91.4,0.35,91.0,True,2.23,1.2,61.7,8.3,C 基底修復,True,6:44,202.2,跌,62.0,6,True,0.0,-0.2793,-0.3128,-0.3262,True,True,-1.49,-0.67,59.28,-5.29,-2.37,9.0,,OHLC,↓,LH/LL,DT,False,268,5,TRST,Combined_R22
HUM,2026-09-24,380.32,12.34,False,389.42,-0.064,0.04,True,82.1,0.53,81.6,True,3.24,2.1,68.0,1.7,C 基底修復,True,6:33,196.3,跌,59.0,7,True,0.0,-3.1527,-3.6094,-6.6213,True,True,-2.39,-0.74,383.23,-0.77,-0.24,359.5,,OHLC,—,HH/HL,自然反彈,False,268,5,HUM,SubSector_R12
SU,2026-09-24,68.65,1.82,True,67.81,0.247,0.75,True,85.9,0.08,85.8,True,2.65,1.94,74.7,1.4,A 待突破,False,5:56,177.8,跌,49.0,5,True,0.0,-0.2818,-0.3258,-0.5478,True,True,1.22,0.46,67.33,1.92,0.72,330.9,,OHLC,↑,HH/HL,自然反彈,False,268,5,SU,Combined_R22
