ticker,date,close,atr,c1,grav,grav_slope,grav_shift5atr,c2,volidx,volidx_slope,volidx_prev,c3,atr_pct,sd60_pct,vcp,vcp_slope,vcp_grade,c4,clock,theta,cycle,cyc_prog,cyc_days,c5,c5_days,hist,hist_prev,hist_trough,still_light,c6,dist_grav_pct,dist_grav_atr,lr_line,dist_lr_pct,dist_lr_atr,turnover20_m,bar_src,lr_dir,struct,mk,inBox,bars,score,symbol_used,lists
VTR,2026-09-21,87.03,1.81,False,90.18,-0.224,-0.61,True,90.1,0.28,89.8,True,2.08,1.64,34.7,0.5,C 基底修復,True,8:49,264.6,跌,114.0,15,True,0.0,-0.4115,-0.4289,-1.0942,True,False,-3.62,-1.74,92.09,-5.81,-2.79,313.1,OHLC,—,LH/LL,自然回檔,False,265,4,VTR,SubSector_R12
WCN,2026-09-21,155.55,2.93,False,163.64,-0.635,-0.67,True,92.9,0.22,92.7,True,1.89,1.17,29.7,0.4,D 趨勢弱,True,8:49,264.6,跌,156.0,17,True,0.0,-0.8373,-0.9113,-1.0223,True,False,-5.2,-2.76,167.24,-7.52,-3.99,156.9,OHLC,↓,LH/LL,DT,False,265,4,WCN,SubSector_R12
XHLD,2026-09-21,10.46,1.38,True,6.73,0.473,1.32,True,12.3,0.71,11.6,False,13.24,20.55,65.1,4.7,E 延伸,True,8:49,264.6,跌,123.0,6,True,0.0,-0.2175,-0.2465,-0.2465,True,False,35.65,2.69,9.23,11.76,0.89,40.1,OHLC,↑,HH/HL,UT,False,265,4,XHLD,10MA_R20
HCC,2026-09-21,88.47,4.29,True,99.21,0.038,0.05,True,71.0,1.41,69.6,False,4.85,2.59,17.6,0.8,D 趨勢弱,True,8:36,257.8,跌,93.0,12,True,0.0,-2.4665,-2.523,-2.523,True,False,-12.14,-2.5,105.58,-19.34,-3.99,56.1,OHLC,↓,LH/LL,DT,False,265,4,HCC,SubSector_R12
GS,2026-09-21,959.39,27.75,False,1010.69,-2.464,-0.81,True,82.8,0.53,82.2,True,2.89,2.32,36.2,14.8,C 基底修復,True,8:26,253.0,跌,91.0,6,True,0.0,-7.8952,-9.2206,-10.7254,True,False,-5.35,-1.85,1038.61,-8.26,-2.85,1941.0,OHLC,↓,LH/LL,自然反彈,False,265,4,GS,SubSector_R12+Combined_R22+RateHike_R2_迴避
KIM,2026-09-21,22.54,0.36,False,23.61,-0.047,-1.32,True,94.8,0.23,94.5,True,1.59,1.0,19.9,0.8,D 趨勢弱,True,8:09,244.3,跌,86.0,9,True,0.0,-0.0805,-0.0887,-0.2436,True,False,-4.75,-3.0,24.26,-7.63,-4.81,131.4,OHLC,↓,LH/LL,DT,False,265,4,KIM,SubSector_R12
MP,2026-09-21,50.0,2.82,True,54.84,0.117,0.27,True,59.9,0.78,59.1,False,5.64,4.03,20.8,10.8,D 趨勢弱,True,7:38,229.2,跌,77.0,15,True,0.0,-0.7847,-0.987,-1.0128,True,False,-9.68,-1.72,55.37,-10.74,-1.9,259.3,OHLC,↓,LH/LL,自然反彈,False,265,4,MP,SubSector_R12+RateHike_R2_迴避
RNG,2026-09-21,77.3,3.37,True,69.03,0.597,0.85,True,64.4,0.18,64.2,False,4.36,4.37,75.0,-2.5,E 延伸,True,7:25,222.6,跌,74.0,10,True,0.0,-0.1945,-0.4617,-0.8268,True,False,10.7,2.45,71.86,7.04,1.61,113.1,OHLC,↑,HH/HL,UT,False,265,4,RNG,10MA_R20
ACM,2026-09-21,62.93,2.11,False,65.5,-0.194,-0.54,True,78.4,0.84,77.5,True,3.36,2.69,21.5,1.2,D 趨勢弱,True,7:22,220.9,跌,73.0,8,True,0.0,-0.1366,-0.1726,-1.3742,True,False,-4.08,-1.22,64.6,-2.65,-0.79,134.4,OHLC,↓,LH/LL,DT,False,265,4,ACM,SubSector_R12
PVLA,2026-09-21,153.41,6.49,False,151.22,-0.16,0.05,True,62.6,1.02,61.6,False,4.23,4.87,68.0,-10.3,B 上升結構,True,6:43,201.7,跌,62.0,9,True,0.0,-0.2101,-0.326,-1.9346,True,True,1.43,0.34,152.22,0.78,0.18,33.2,OHLC,—,HH/HL,自然回檔,True,265,4,PVLA,Combined_R22
TFC,2026-09-21,49.0,1.07,False,50.52,-0.137,-0.82,True,91.0,0.42,90.5,True,2.18,1.34,28.1,2.7,D 趨勢弱,True,6:09,184.4,跌,52.0,9,True,0.0,-0.1709,-0.202,-0.321,True,False,-3.09,-1.42,48.68,0.65,0.3,347.8,OHLC,↓,LH/LL,DT,False,265,4,TFC,SubSector_R12
MS,2026-09-21,206.12,5.17,False,211.94,-0.32,-0.52,True,87.4,0.35,87.0,True,2.51,1.79,51.9,5.8,C 基底修復,False,5:40,170.0,跌,44.0,6,True,0.0,-1.0788,-1.3583,-1.932,True,True,-2.83,-1.13,200.26,2.84,1.13,943.0,OHLC,—,HH/HL,DT,False,265,4,MS,SubSector_R12+Combined_R22+RateHike_R2_迴避
ALT,2026-09-21,3.27,0.13,True,3.15,0.007,0.33,True,74.2,0.69,73.5,False,4.08,2.75,24.2,3.3,D 趨勢弱,False,5:38,169.1,跌,44.0,5,True,0.0,-0.0113,-0.0114,-0.0275,True,True,3.52,0.86,3.09,5.5,1.35,12.2,OHLC,↑,HH/HL,自然回檔,False,265,4,ALT,SubSector_R12
AI,2026-09-21,10.84,0.51,True,10.43,0.015,0.24,True,70.4,1.39,69.0,False,4.66,2.89,40.5,7.2,D 趨勢弱,False,5:20,160.2,跌,39.0,4,True,0.0,-0.0184,-0.0272,-0.0709,True,True,3.77,0.81,10.56,2.58,0.55,60.1,OHLC,↑,HH/HL,自然反彈,False,265,4,AI,AI_R13+Combined_R22
APH,2026-09-21,80.72,2.8,False,80.52,-0.156,-0.41,True,77.6,0.07,77.5,True,3.47,2.73,58.2,9.2,A 待突破,False,5:19,159.4,跌,39.0,6,True,0.0,-0.2215,-0.4275,-0.9059,True,True,0.25,0.07,80.25,0.58,0.17,955.0,OHLC,—,HH/HL,自然反彈,False,265,4,APH,AI_R13+SubSector_R12
