ticker,name,n_hit,hits,detail,avoid,comb_grade,comb_up,comb_sure,ss_rank,ss_score,ss_name,ai_group,ai_rank,ai_tf5,mp_rank,mp_win,mp_score,mp_flag,rh,catalyst,score,miss,close,volidx,volidx_slope,grav_slope,clock,c5_cat,dist_grav_pct,turnover20_m,bars,hist_ok,vcp,vcp_grade,struct,lists
AVAV,,1,chat3 SubSector R12,#13 國防科技與無人機（5 日分 89，斜率 +0.12）,,,,,13.0,89.1,國防科技與無人機,,,,,,,,,,2,①③④⑤,158.55,58.3,2.93,-0.676,2:49,—,2.79,345.1,268,True,7.5,D 趨勢弱,LH/LL,SubSector_R12
BEAM,,1,chat3 SubSector R12,#32 基因治療與基因編輯（5 日分 72，斜率 +0.64）,,,,,32.0,71.8,基因治療與基因編輯,,,,,,,,,,2,①③⑤⑥,24.66,56.7,0.19,-0.105,8:49,第 7 根,-8.44,50.9,268,True,1.7,D 趨勢弱,HH/HL,SubSector_R12
MRVL,,1,chat3 SubSector R12,#14 AI加速晶片/GPU（5 日分 88，斜率 +0.49）,,,,,14.0,88.2,AI加速晶片/GPU,,,,,,,,,,2,③④⑤⑥,258.95,55.4,0.68,0.942,12:07,已中斷,10.37,4967.6,268,True,71.4,C 基底修復,HH/HL,AI_R13+SubSector_R12+Combined_R22
ONDS,,1,chat3 SubSector R12,#13 國防科技與無人機（5 日分 89，斜率 +0.12）,,,,,13.0,89.1,國防科技與無人機,,,,,,,,,,2,①③④⑤,7.6,53.9,0.25,-0.107,11:19,—,-5.1,490.9,268,True,22.2,D 趨勢弱,LH/LL,SubSector_R12
RGTI,,1,chat3 SubSector R12,#15 量子運算（5 日分 87，斜率 +0.38）,,,,,15.0,87.3,量子運算,,,,,,,,,,2,①③④⑤,16.5,53.8,0.71,-0.069,11:58,已中斷,1.18,261.7,268,True,34.2,D 趨勢弱,LH/LL,SubSector_R12
IONQ,,1,chat3 SubSector R12,#15 量子運算（5 日分 87，斜率 +0.38）,⚠ 加息清單「迴避」,,,,15.0,87.3,量子運算,,,,,,,,,,2,③④⑤⑥,44.98,53.4,0.06,0.075,11:18,已中斷,8.43,937.3,268,True,41.2,D 趨勢弱,LH/LL,SubSector_R12+RateHike_R2_迴避
ANGX,Angel Studios Inc. Class A,1,chat1 動能回調 R21,總表 #22（動能 3月，爆發潛力 62.6）,,,,,,,,,,,22.0,3月,62.6,,,,2,②③④⑤,4.86,51.8,-0.2,0.04,4:12,—,-0.54,10.1,261,True,48.3,D 趨勢弱,HH/HL,MP_R21
RDW,,1,chat3 SubSector R12,#7 太空與衛星（5 日分 95，斜率 +0.62）,,,,,7.0,94.5,太空與衛星,,,,,,,,,,2,①③④⑤,11.6,51.0,0.6,-0.085,10:30,已中斷,0.66,136.4,268,True,56.9,D 趨勢弱,HH/HL,SubSector_R12+Combined_R22
CIEN,,1,chat3 SubSector R12,#10 AI資料中心建設（5 日分 92，斜率 +0.00）,,,,,10.0,91.8,AI資料中心建設,,,,,,,,,,2,①③④⑤,358.43,50.9,0.9,-3.444,1:48,已中斷,-1.76,966.1,268,True,22.5,D 趨勢弱,HH/HL,AI_R13+SubSector_R12+Combined_R22
LUNR,,1,chat3 SubSector R12,#7 太空與衛星（5 日分 95，斜率 +0.62）,,,,,7.0,94.5,太空與衛星,,,,,,,,,,2,①③④⑤,15.7,50.1,0.54,-0.049,10:14,已中斷,-4.86,103.4,268,True,39.7,D 趨勢弱,LH/LL,SubSector_R12
